customer_id,age_group,city,occupation,gender,marital status,avg_income,month_avg_spend ,avg_income_utilization_monthly
ATQCUS0001,21-24,Mumbai,Salaried IT Employees,Male,Married,49767,28424,57.11%
ATQCUS0002,21-24,Mumbai,Salaried IT Employees,Male,Married,47336,28086,59.33%
ATQCUS0003,21-24,Mumbai,Salaried IT Employees,Male,Married,48851,26256,53.75%
ATQCUS0004,21-24,Mumbai,Salaried IT Employees,Male,Married,45425,27109,59.68%
ATQCUS0005,21-24,Mumbai,Salaried IT Employees,Male,Married,46732,26216,56.10%
ATQCUS0006,21-24,Mumbai,Salaried IT Employees,Male,Married,50620,30855,60.95%
ATQCUS0007,21-24,Mumbai,Salaried IT Employees,Male,Married,48756,26474,54.30%
ATQCUS0008,21-24,Mumbai,Salaried IT Employees,Male,Married,46854,26162,55.84%
ATQCUS0009,21-24,Mumbai,Salaried IT Employees,Male,Married,47879,29625,61.87%
ATQCUS0010,21-24,Mumbai,Salaried IT Employees,Male,Married,49465,29958,60.56%
ATQCUS0011,21-24,Mumbai,Salaried IT Employees,Male,Married,45444,26505,58.33%
ATQCUS0012,21-24,Mumbai,Salaried IT Employees,Male,Married,47586,26282,55.23%
ATQCUS0013,21-24,Mumbai,Salaried IT Employees,Male,Married,46713,25742,55.11%
ATQCUS0014,21-24,Mumbai,Salaried Other Employees,Male,Married,29477,13923,47.23%
ATQCUS0015,21-24,Mumbai,Salaried Other Employees,Male,Married,32195,16117,50.06%
ATQCUS0016,21-24,Mumbai,Salaried Other Employees,Male,Married,32211,15075,46.80%
ATQCUS0017,21-24,Mumbai,Salaried Other Employees,Male,Married,29195,15162,51.93%
ATQCUS0018,21-24,Mumbai,Salaried Other Employees,Male,Married,29931,14693,49.09%
ATQCUS0019,21-24,Mumbai,Salaried Other Employees,Male,Married,29782,13781,46.27%
ATQCUS0020,21-24,Mumbai,Salaried Other Employees,Male,Married,31079,15150,48.75%
ATQCUS0021,21-24,Mumbai,Salaried Other Employees,Male,Married,28332,15361,54.22%
ATQCUS0022,21-24,Mumbai,Salaried Other Employees,Male,Married,29100,15018,51.61%
ATQCUS0023,21-24,Mumbai,Business Owners,Male,Married,55473,21464,38.69%
ATQCUS0024,21-24,Mumbai,Business Owners,Male,Married,56568,20775,36.73%
ATQCUS0025,21-24,Mumbai,Business Owners,Male,Married,52696,20253,38.43%
ATQCUS0026,21-24,Mumbai,Business Owners,Male,Married,51916,21231,40.89%
ATQCUS0027,21-24,Mumbai,Business Owners,Male,Married,53003,18185,34.31%
ATQCUS0028,21-24,Mumbai,Business Owners,Male,Married,53116,19425,36.57%
ATQCUS0029,21-24,Mumbai,Business Owners,Male,Married,54613,20909,38.29%
ATQCUS0030,21-24,Mumbai,Freelancers,Male,Married,27632,14916,53.98%
ATQCUS0031,21-24,Mumbai,Freelancers,Male,Married,28246,15155,53.65%
ATQCUS0032,21-24,Mumbai,Freelancers,Male,Married,26083,13765,52.77%
ATQCUS0033,21-24,Mumbai,Freelancers,Male,Married,26592,13519,50.84%
ATQCUS0034,21-24,Mumbai,Freelancers,Male,Married,25807,13828,53.58%
ATQCUS0035,21-24,Mumbai,Freelancers,Male,Married,28673,15689,54.72%
ATQCUS0036,21-24,Mumbai,Freelancers,Male,Married,27073,13695,50.59%
ATQCUS0037,21-24,Mumbai,Government Employees,Male,Married,41125,14145,34.40%
ATQCUS0038,21-24,Mumbai,Government Employees,Male,Married,39967,15037,37.62%
ATQCUS0039,21-24,Mumbai,Government Employees,Male,Married,39166,13635,34.81%
ATQCUS0040,21-24,Mumbai,Government Employees,Male,Married,38958,13261,34.04%
ATQCUS0041,21-24,Delhi NCR,Salaried IT Employees,Male,Married,47439,23693,49.94%
ATQCUS0042,21-24,Delhi NCR,Salaried IT Employees,Male,Married,49981,29141,58.30%
